symbol,direction,confidence,raw_confidence,entry_date,entry_price,exit_date,exit_price,stop_loss,target,pnl_pct,exit_reason
INFY,SELL,0.5835,0.7631,2025-08-26 00:00:00+05:30,1506.54,2025-09-02 00:00:00+05:30,1476.1,1532.36,1441.97,2.02,max_hold
INFY,SELL,0.5711,0.7591,2025-09-09 00:00:00+05:30,1481.62,2025-09-09 00:00:00+05:30,1481.62,1507.45,1417.05,0.0,end_of_period
INFY,SELL,0.5716,0.7792,2025-10-27 00:00:00+05:30,1504.5,2025-11-03 00:00:00+05:30,1485.5,1539.31,1417.48,1.263,max_hold
INFY,BUY,0.5894,0.7913,2025-11-04 00:00:00+05:30,1467.9,2025-11-11 00:00:00+05:30,1530.3,1433.09,1554.92,4.251,max_hold
INFY,SELL,0.5089,0.6811,2025-11-13 00:00:00+05:30,1541.8,2025-11-20 00:00:00+05:30,1536.5,1576.61,1454.78,0.344,max_hold
INFY,SELL,0.6068,0.826,2025-11-21 00:00:00+05:30,1545.0,2025-11-24 00:00:00+05:30,1579.81,1579.81,1457.98,-2.253,stop_loss
INFY,SELL,0.6742,0.8901,2025-11-25 00:00:00+05:30,1530.6,2025-11-27 00:00:00+05:30,1565.41,1565.41,1443.58,-2.274,stop_loss
INFY,SELL,0.697,0.913,2025-12-02 00:00:00+05:30,1561.0,2025-12-04 00:00:00+05:30,1595.81,1595.81,1473.98,-2.23,stop_loss
INFY,SELL,0.5757,0.7395,2025-12-08 00:00:00+05:30,1610.8,2025-12-10 00:00:00+05:30,1584.8,1645.61,1523.78,1.614,end_of_period
INFY,SELL,0.8387,0.9809,2026-01-22 00:00:00+05:30,1663.5,2026-01-29 00:00:00+05:30,1659.5,1690.6,1595.75,0.24,max_hold
INFY,BUY,0.5681,0.7432,2026-01-30 00:00:00+05:30,1641.0,2026-02-03 00:00:00+05:30,1708.75,1613.9,1708.75,4.129,target
INFY,BUY,0.7052,0.919,2026-02-04 00:00:00+05:30,1535.8,2026-02-06 00:00:00+05:30,1508.7,1508.7,1603.55,-1.765,stop_loss
INFY,BUY,0.6669,0.8651,2026-02-12 00:00:00+05:30,1386.0,2026-02-13 00:00:00+05:30,1358.9,1358.9,1453.75,-1.955,stop_loss
INFY,BUY,0.6068,0.8102,2026-02-20 00:00:00+05:30,1353.2,2026-02-23 00:00:00+05:30,1326.1,1326.1,1420.95,-2.003,stop_loss
INFY,BUY,0.5447,0.7072,2026-02-24 00:00:00+05:30,1275.5,2026-03-04 00:00:00+05:30,1307.4,1248.4,1343.25,2.501,max_hold
